job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_neighbors,weights,metric,p,leaf_size,algorithm,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
39,d60217f66842,2026-04-15 16:03:47,True,0.758888888888889,0.06813648064701429,1.0,0.0,0.018789052963256836,14,distance,manhattan,2,40,kd_tree,0.7471021827994344,0.07264760864572506,0.758888888888889,0.06813648064701429,0.7541915530535584,0.07245862067547199,0.7556462927051163,0.060009613467356636,0.7556613756613756,0.06850852820878425,0.916056191163334,0.011803724584233337
40,5b6cfc4d2258,2026-04-15 16:03:50,True,0.7528571428571429,0.08108858756016096,1.0,0.0008057117462158203,0.015851926803588868,53,distance,manhattan,2,40,kd_tree,0.7516746995129908,0.0819477862757152,0.7528571428571429,0.08108858756016096,0.7575985569848488,0.07925634381945879,0.7601350501350501,0.0809314285118092,0.7537277537277538,0.08235833590677508,0.918497543921457,0.020722459163346287
41,9f649dcf6b0f,2026-04-15 16:03:53,True,0.7473015873015874,0.07413497118861523,1.0,0.00040302276611328127,0.01948404312133789,63,distance,manhattan,2,40,kd_tree,0.7459958870973363,0.07492748860251387,0.7473015873015874,0.07413497118861523,0.7523875808265041,0.07306691238212894,0.7534765234765235,0.07309747675451234,0.7481721981721983,0.07552738262335287,0.9198560487706452,0.0230700260637994
42,3e6fe65f9914,2026-04-15 16:03:57,True,0.7528571428571429,0.06162451829202493,1.0,0.0015059947967529298,0.03380579948425293,41,distance,manhattan,3,50,brute,0.7496690315419186,0.060231960417194245,0.7528571428571429,0.06162451829202493,0.7556800189780324,0.05947305475243939,0.7612054612054611,0.05884066445828193,0.7526166426166426,0.059323028568577976,0.9172171942389336,0.017724693037010436
43,c6c5669fc995,2026-04-15 16:04:00,True,0.775079365079365,0.06246107379385164,1.0,0.0031341552734375,0.018686962127685548,2,distance,manhattan,2,40,ball_tree,0.7695396725435074,0.06496814460359468,0.775079365079365,0.06246107379385164,0.775255371702047,0.06446878932860518,0.7795896913543972,0.05761628413140252,0.7716642616642616,0.07035549230422625,0.8617227104043874,0.051262473656151185
44,4b1a7fa3c668,2026-04-15 16:04:03,True,0.7474603174603175,0.057128305025370835,1.0,0.00191497802734375,0.028573369979858397,21,distance,manhattan,2,40,kd_tree,0.7400906872556157,0.054824899973711816,0.7474603174603175,0.057128305025370835,0.7470657101865228,0.05571961663796739,0.7462570762570762,0.04927814412436964,0.745949975949976,0.055596048118887395,0.9210313988978583,0.01054315596257265
45,400f2433ff06,2026-04-15 16:04:07,True,0.6461904761904762,0.05066551297568635,1.0,0.0026685714721679686,0.04934592247009277,81,distance,minkowski,3,30,ball_tree,0.6253998846018727,0.06481634825581939,0.6461904761904762,0.05066551297568635,0.641272913078453,0.06127867396251262,0.6324492684245007,0.06760544373480028,0.6297065897065897,0.05557983640107927,0.893875148431049,0.02265834236051942
46,541fdbe96425,2026-04-15 16:04:11,True,0.719047619047619,0.06098213559459854,1.0,0.0024610042572021486,0.030895090103149413,85,distance,manhattan,3,50,ball_tree,0.7108263405693103,0.0610959188628661,0.719047619047619,0.06098213559459854,0.7220375136564074,0.059655580107808956,0.7245957310663194,0.06915176939772173,0.708013468013468,0.060281592102601755,0.9218991515730647,0.022230812076202967
47,fb8c6b461471,2026-04-15 16:04:17,True,0.7304761904761905,0.05662596911249248,1.0,0.0015099525451660156,0.0334129810333252,31,distance,manhattan,3,50,ball_tree,0.7230791020432515,0.06001404213183165,0.7304761904761905,0.05662596911249248,0.7308584946345652,0.057635241908985925,0.7346647796647796,0.0582204143743671,0.7290187590187591,0.061823277548517866,0.9157218992762471,0.012435408600621808
48,7fc73dd6cb42,2026-04-15 16:04:23,True,0.7022222222222222,0.04516256574220791,0.7064315965724417,0.0025931835174560548,0.04644408226013184,65,uniform,minkowski,3,20,kd_tree,0.6820861875235741,0.05162650580021918,0.7022222222222222,0.04516256574220791,0.6973078431953205,0.04871097230786552,0.6837837162837161,0.056283360965560886,0.6847859547859547,0.04763025652619355,0.886203252349215,0.0339764462716884
49,ebf27739f4ad,2026-04-15 16:04:28,True,0.6519047619047619,0.04996244495388224,1.0,0.0012619495391845703,0.030930709838867188,88,distance,euclidean,1,30,ball_tree,0.6310173495741764,0.064186207935367,0.6519047619047619,0.04996244495388224,0.6473212303525767,0.0610365569952003,0.6366268283373546,0.0675435933569795,0.6352621452621452,0.05415230734750132,0.8967911204277664,0.022152979744131128
50,81a449064dd8,2026-04-15 16:04:33,True,0.7473015873015874,0.07413497118861523,1.0,0.0007009029388427735,0.02556748390197754,60,distance,manhattan,3,10,auto,0.7459958870973363,0.07492748860251387,0.7473015873015874,0.07413497118861523,0.7523875808265041,0.07306691238212894,0.7534765234765235,0.07309747675451234,0.7481721981721983,0.07552738262335287,0.9203255148922851,0.021811113680410072
51,810eaf8e78e7,2026-04-15 16:04:39,True,0.736031746031746,0.06914807507239945,1.0,0.0,0.01600513458251953,70,distance,manhattan,1,50,auto,0.7305521882126992,0.06812301407032947,0.736031746031746,0.06914807507239945,0.738735575088685,0.0665833259858643,0.7516686581392464,0.08074551150099095,0.731082251082251,0.06854911759975431,0.9196931323220143,0.022415867989712863
52,db029039ad2a,2026-04-15 16:04:44,True,0.7641269841269841,0.07350663231097711,1.0,0.0012068748474121094,0.025157070159912108,6,distance,manhattan,3,50,ball_tree,0.754817771419262,0.08174794821792639,0.7641269841269841,0.07350663231097711,0.7588360342459838,0.0785632058840204,0.7708416093710211,0.06933015953463212,0.7645502645502645,0.08039403533986442,0.9117008136790746,0.03296499442070667
53,63f885b3ba95,2026-04-15 16:04:53,True,0.6519047619047619,0.04996244495388224,1.0,0.0,0.036617708206176755,85,distance,minkowski,2,20,auto,0.6310173495741764,0.064186207935367,0.6519047619047619,0.04996244495388224,0.6473212303525767,0.0610365569952003,0.6366268283373546,0.0675435933569795,0.6352621452621452,0.05415230734750132,0.8962098498464959,0.02315979848813443
54,866f48c5e783,2026-04-15 16:05:00,True,0.7757142857142858,0.07131490073447101,1.0,0.0012060165405273437,0.026264715194702148,11,distance,manhattan,3,50,auto,0.769301488634822,0.06851716807176317,0.7757142857142858,0.07131490073447101,0.7748124180346403,0.06924242744145949,0.773105043105043,0.06246596654999947,0.7718229918229917,0.06699759267699071,0.9130942607541985,0.020036732601744604
55,add93889e738,2026-04-15 16:05:08,True,0.763968253968254,0.07390862096508395,1.0,0.0009521007537841797,0.0204744815826416,49,distance,manhattan,3,50,ball_tree,0.7624968339003426,0.07396726332491212,0.763968253968254,0.07390862096508395,0.7676186126136001,0.07166942809949976,0.7708432308432307,0.06991077746204169,0.765949975949976,0.07325916256390617,0.9181556635795767,0.020754741484871938
56,26dec964c0e4,2026-04-15 16:05:16,True,0.7473015873015874,0.05775378884520322,1.0,0.00041794776916503906,0.031151628494262694,46,distance,manhattan,3,50,auto,0.7447502787970789,0.05661487661771521,0.7473015873015874,0.05775378884520322,0.751097966569893,0.056165223424562816,0.7576701076701077,0.056786692145973615,0.747061087061087,0.05534696655696451,0.9204178458417589,0.021159860244069482
57,277a1efed4de,2026-04-15 16:05:26,True,0.7417460317460317,0.05302537696392922,1.0,0.002240419387817383,0.03740415573120117,30,distance,manhattan,3,50,auto,0.7380294026960692,0.05173213312271372,0.7417460317460317,0.05302537696392922,0.7440897568040425,0.05144469677759209,0.7473926073926074,0.049113826070352216,0.743092833092833,0.05246652265665835,0.9157037904009954,0.012231041555261715
58,5988c5c70fd0,2026-04-15 16:05:34,True,0.7134920634920635,0.056477609125895854,1.0,0.0016100406646728516,0.034780359268188475,86,distance,manhattan,3,50,auto,0.7031023262323927,0.05670863679020079,0.7134920634920635,0.056477609125895854,0.7150632006337074,0.055784979156715375,0.7197591297591297,0.06475578569253687,0.7013468013468014,0.056089282326439484,0.9211014307753438,0.020849321759358403
59,94c0a40ea1ce,2026-04-15 16:05:42,True,0.7698412698412698,0.05864214769703219,1.0,0.0,0.026416921615600587,7,distance,manhattan,3,50,auto,0.7623986098800272,0.06342250178467967,0.7698412698412698,0.05864214769703219,0.7664392628276475,0.06237924478174974,0.7745691345691346,0.05479563062501353,0.7703944203944204,0.06104859923958294,0.9176582424936462,0.024045218065870788
60,28474f927399,2026-04-15 16:05:51,True,0.7528571428571429,0.06407981921036261,1.0,0.0021123409271240233,0.035041189193725585,47,distance,manhattan,3,50,auto,0.7513495468567932,0.063671178412723,0.7528571428571429,0.06407981921036261,0.7571994365320798,0.0623331839128146,0.7623526473526473,0.06210883971702002,0.7537277537277538,0.06231712921711256,0.9191644325883457,0.020756187774761726
61,e76384ce0db5,2026-04-15 16:06:00,True,0.7473015873015874,0.07413497118861523,1.0,0.001961421966552734,0.02115468978881836,58,distance,manhattan,3,50,auto,0.7459958870973363,0.07492748860251387,0.7473015873015874,0.07413497118861523,0.7523875808265041,0.07306691238212894,0.7534765234765235,0.07309747675451234,0.7481721981721983,0.07552738262335287,0.918562034985948,0.022335636078339667
62,8db9135f634f,2026-04-15 16:06:10,True,0.7533333333333333,0.06010279260577124,1.0,0.002333259582519531,0.024022769927978516,15,distance,manhattan,3,50,auto,0.7418307273162427,0.06554096120165118,0.7533333333333333,0.06010279260577124,0.749085387197299,0.06472768017154622,0.7514227384815619,0.05261838881657468,0.7505820105820106,0.062099904968839874,0.914786665715237,0.014963997012000645
63,04bb6c0b901f,2026-04-15 16:06:20,True,0.7306349206349206,0.04686331529010561,1.0,0.0007695198059082031,0.02260613441467285,37,distance,manhattan,3,50,auto,0.7249834502261818,0.045822442186830424,0.7306349206349206,0.04686331529010561,0.7320553997554867,0.04641789264641339,0.7347663447663447,0.04444136472227445,0.7297594997594998,0.046225521634819466,0.9163385177624308,0.016103798489172667
64,fe87b640df9a,2026-04-15 16:06:28,True,0.7473015873015874,0.08013688213964114,1.0,0.0,0.02557859420776367,52,distance,manhattan,3,50,auto,0.7446886903530686,0.08089858277093628,0.7473015873015874,0.08013688213964114,0.7513340485464273,0.07817827946287681,0.752054242054242,0.08013962105046225,0.7470610870610871,0.08155113913587798,0.9185624327363457,0.021067360605581266
65,8dc82afa3c4d,2026-04-15 16:06:37,True,0.7357142857142858,0.07855138432799125,1.0,0.001117563247680664,0.02988424301147461,80,distance,manhattan,3,50,auto,0.7303499985815144,0.07729517093939745,0.7357142857142858,0.07855138432799125,0.7391620672349893,0.07540210718448805,0.7457131757131757,0.08603656536329977,0.7276960076960077,0.07551820999567573,0.919953881234937,0.0226996026086467
66,515dbb8c1131,2026-04-15 16:06:46,True,0.7357142857142858,0.07855138432799125,1.0,0.00110626220703125,0.029326963424682616,77,distance,manhattan,3,50,brute,0.7303499985815144,0.07729517093939745,0.7357142857142858,0.07855138432799125,0.7391620672349893,0.07540210718448805,0.7457131757131757,0.08603656536329977,0.7276960076960077,0.07551820999567573,0.9205120637931197,0.02233778977194117
67,d4d9743d3dc1,2026-04-15 16:06:57,True,0.7417460317460318,0.055859937141706825,1.0,0.0002007007598876953,0.04719104766845703,39,distance,manhattan,3,50,brute,0.737424288630509,0.05417173217493041,0.7417460317460318,0.055859937141706825,0.7439553321422345,0.05378886876358894,0.7487345987345987,0.05540937958435934,0.7411880711880712,0.053383321290106436,0.9156448406665797,0.018085122450364196
68,278bd9caab3b,2026-04-15 16:07:07,True,0.7584126984126984,0.07158114216982088,1.0,0.0020888328552246095,0.041803503036499025,54,distance,manhattan,3,50,brute,0.757578081155503,0.07193542116814963,0.7584126984126984,0.07158114216982088,0.7630365602054607,0.06973809237632668,0.7673078773078773,0.06868891658965222,0.7603944203944204,0.0711274773643942,0.918497543921457,0.020722459163346287
