job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std,folds_completed,error_message
25,c86cf1390a89,2026-07-31 12:54:48,False,,,,,,,,225,4,0.05,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
26,b904b6b6ffca,2026-07-31 12:54:53,True,0.7979999999999999,0.015999999999999976,0.87625,0.13660931587219238,0.05556926727294922,3.494265532192875e-07,5.3988551201062915e-06,200,7,0.02,1.0,1.0,1,0,0.7041288615871821,0.033595100509351376,0.7979999999999999,0.015999999999999976,0.7707209231684903,0.023404486744046722,0.8225492480576839,0.025405602188545883,0.6833333333333333,0.02966173619504278,0.7817619047619048,0.03159366809893361,5,
27,a4506fb02779,2026-07-31 12:54:58,False,,,,,,,,275,6,0.28,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
28,0f2dbfcc78fb,2026-07-31 12:55:04,False,,,,,,,,50,9,0.08,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
29,bc590396ca2a,2026-07-31 12:55:09,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.03474903106689453,0.04489102363586426,1.463438193495381e-07,2.2611020001543293e-06,100,3,0.04,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7958809523809525,0.04178567019398027,5,
30,311a700997c2,2026-07-31 12:55:14,False,,,,,,,,125,10,0.21,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
31,65362b9d1684,2026-07-31 12:55:19,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.019371461868286134,0.05086750984191894,1.5671243030783364e-07,2.4213034154298703e-06,25,7,0.02,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7990119047619049,0.028118649446799836,5,
32,325b28786294,2026-07-31 12:55:24,False,,,,,,,,25,7,0.29,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
33,060ba5aefebd,2026-07-31 12:55:29,False,,,,,,,,75,7,0.16,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
34,75c1c6d14cc4,2026-07-31 12:55:34,False,,,,,,,,25,11,0.13,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
35,6d5c90bb1231,2026-07-31 12:55:39,False,,,,,,,,25,8,0.18,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
36,26acdf4d858b,2026-07-31 12:55:44,False,,,,,,,,300,13,0.1,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
37,e834b88b3cb7,2026-07-31 12:55:49,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.057048892974853514,0.048712539672851565,2.034425597966538e-07,3.1433126517903913e-06,175,3,0.02,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7977738095238096,0.04141650412648271,5,
