job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,alpha,tol,max_iter,fit_intercept,solver,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
24,f45321877a74,2026-04-15 13:10:04,True,0.2786617052163055,0.031051882206336492,0.28811754268708717,0.0016128063201904298,0.0015349864959716796,9.6,0.0001,100,True,svd,-0.16213290581571188,0.008346897111196105,-0.3357780794654556,0.006835616176725236,-0.40252239567725423,0.01042241785555779
25,a6e8c412280f,2026-04-15 13:10:04,True,0.25211228318120016,0.035547087156806566,0.2632223927311062,0.0016388416290283204,0.0028315067291259767,3.15,0.01,300,True,lsqr,-0.16807800017602062,0.008796589300852035,-0.34392366562198234,0.007772114122583518,-0.40982992671462065,0.010836574417650137
26,0bd706bf1703,2026-04-15 13:10:04,True,0.16577392377234612,0.015104602753090241,0.16956142797146517,0.001511383056640625,0.0026741504669189455,7.35,0.01,300,False,sparse_cg,-0.18743945638409645,0.0039575671053790435,-0.39703489650241763,0.002473597062575642,-0.43291862002987147,0.004574365040991519
27,74579c8b8855,2026-04-15 13:10:04,True,0.2711043363717648,0.032592646249250214,0.27852524284241514,0.013907575607299804,0.0022257328033447265,0.3,0.01,500,True,sag,-0.16383056648706573,0.00862591830074242,-0.3393355643797126,0.007895370396193221,-0.40461761146186764,0.010731028932908586
28,fc1525ef66e5,2026-04-15 13:10:04,True,0.27861768770723544,0.030995854131978633,0.2881377516564879,0.0014935970306396485,0.0018969058990478515,5.25,0.01,300,True,cholesky,-0.16214267648552658,0.008335225803970187,-0.3357274017409335,0.006791768059665482,-0.4025349428806638,0.010406548207128096
29,9a60fbba8131,2026-04-15 13:10:04,True,0.2733812650592993,0.03328971276210655,0.2809338861889178,0.07619781494140625,0.0025219440460205076,8.4,0.0001,300,True,sag,-0.16332006111552053,0.008776308827093397,-0.33800885789282875,0.008096192495592446,-0.4039808955539147,0.010931474876593081
30,205bd2904a99,2026-04-15 13:10:05,True,0.26924596497313596,0.032061843369441,0.2766701756396762,0.02263216972351074,0.002839326858520508,5.1,0.01,100,True,saga,-0.16424783619527122,0.008523307954366633,-0.3401637274113437,0.007806075746973057,-0.4051365883839943,0.010591550776407894
31,a1426db92818,2026-04-15 13:10:05,True,0.27862461854140813,0.031003693064142898,0.2881355877332844,0.0018885135650634766,0.0024040699005126952,5.85,0.01,500,True,svd,-0.1621411365610821,0.008336865785469626,-0.3357343576808667,0.006798240621213324,-0.40253297221426776,0.010408786741481293
32,7b7ea320182b,2026-04-15 13:10:05,True,0.27863918372199314,0.031021201614673904,0.28812996705884136,0.002152872085571289,0.001656341552734375,7.2,0.0001,500,True,sparse_cg,-0.1621379019437447,0.008340520285132996,-0.3357502114691061,0.006812025492589853,-0.4025288256080831,0.010413764848608733
33,3f7414dccf9f,2026-04-15 13:10:05,True,0.27862962945127434,0.031009549036998492,0.28813382829470163,0.0014035224914550782,0.0025104522705078126,6.3,0.001,100,True,cholesky,-0.16214002349553228,0.008338089381933944,-0.3357395619407179,0.006803037593819944,-0.4025315464916092,0.010410455062374547
34,4905cbb25309,2026-04-15 13:10:05,True,0.2786263014709183,0.031005645352723748,0.2881350141289062,0.001794910430908203,0.0018783092498779296,6.0,0.0001,100,True,sparse_cg,-0.16214076272651048,0.0083372740624503,-0.33573609494134227,0.006799849292299802,-0.4025324934630293,0.010409343540626694
35,eebcb53fa3f7,2026-04-15 13:10:05,True,0.19235906398583713,0.017576107287009927,0.19810139656738926,0.1408991813659668,0.0020092487335205077,1.65,0.0001,500,False,saga,-0.18151695161706444,0.006181722806860693,-0.3866131582487181,0.003909045097565573,-0.4259865479049325,0.007239656145365988
36,d3d60a019a9e,2026-04-15 13:10:06,True,0.2711041082023441,0.03259251825097059,0.2785249785557803,0.01329183578491211,0.0019321441650390625,1.35,0.01,100,True,sag,-0.1638306166523369,0.008625871708406237,-0.3393358159218722,0.007895296066321928,-0.4046176749937677,0.010730970830947581
37,01688b406521,2026-04-15 13:10:06,True,0.16577392737731764,0.015104590837197947,0.16956142796863455,0.0021437644958496095,0.0019337654113769532,9.15,0.01,100,False,sparse_cg,-0.18743945553655408,0.003957562781654431,-0.3970349595371734,0.0024736027872315947,-0.43291861910193336,0.004574360220756619
38,e01046440fdd,2026-04-15 13:10:06,True,0.27419870916520805,0.033119782381664964,0.28187481259042063,0.12576675415039062,0.0022262096405029296,8.25,0.0001,500,True,sag,-0.16313654011581843,0.008745619770062066,-0.33778792698200016,0.008049764176893301,-0.40375456112740843,0.010899288262645504
39,ea174612ba93,2026-04-15 13:10:06,True,0.1921418716118534,0.017704339688663338,0.19780391008838266,0.0020469188690185546,0.002055931091308594,6.0,0.001,500,False,lsqr,-0.1815657971316744,0.006202160539866802,-0.38654709417686484,0.0039740538053983435,-0.42604347898568806,0.007262998378495634
40,84fab7737ec7,2026-04-15 13:10:06,True,0.2786537468006506,0.031040443571382657,0.2881225534688738,0.0012032032012939454,0.0016180038452148437,8.7,0.0001,100,True,auto,-0.1621346704016702,0.008344523620226958,-0.3357677202484499,0.006826831591804072,-0.4025246708344351,0.01041920204717446
41,1d5d3e79fc89,2026-04-15 13:10:06,True,0.278632878795741,0.031013440186167328,0.2881325914500907,0.0014010429382324218,0.0022104740142822265,6.6,0.0001,500,True,sparse_cg,-0.1621393018504556,0.008338901388515577,-0.3357431298728587,0.0068060350436446254,-0.40253062149364516,0.010411561381244227
42,e08287fad85d,2026-04-15 13:10:06,True,0.2786067446466324,0.0309840295378823,0.28814059770278533,0.0017580032348632813,0.0019984722137451174,4.35,0.0001,100,True,svd,-0.1621451086875856,0.008332747479166831,-0.3357168752957453,0.006781987101398867,-0.4025380515573606,0.010403159904053862
43,c557e4488acf,2026-04-15 13:10:06,True,0.27856527656936514,0.030944047765345144,0.28814641282317593,0.0016031265258789062,0.001822519302368164,1.35,0.0001,300,True,sparse_cg,-0.16215433253422612,0.00832432604316269,-0.33568240613327144,0.006749654028418217,-0.4025498071780529,0.01039159637103672
44,1cf3222a665a,2026-04-15 13:10:06,True,0.19356800820471415,0.01676504029315114,0.20094136894971978,0.0013096332550048828,0.0018288612365722657,4.65,0.001,500,False,svd,-0.1812481120351544,0.006148860138303424,-0.3862002187550201,0.0033122200503511523,-0.4256716045206111,0.007197022995854205
45,9ee5015e5eca,2026-04-15 13:10:06,True,0.19354619833232617,0.0167653640561355,0.20094316232090845,0.0014464855194091797,0.001688098907470703,2.55,0.01,500,False,svd,-0.181253042154203,0.006149905029221674,-0.3861937868808135,0.003307180572653456,-0.4256773787831027,0.007198009902040216
46,3bb51bd895c2,2026-04-15 13:10:06,True,0.27865779768062404,0.031046172910728618,0.2881200995139169,0.0009960651397705079,0.001799774169921875,9.15,0.001,100,True,auto,-0.1621337720773443,0.008345713025945438,-0.33577291327315295,0.00683123320028062,-0.40252351323510627,0.01042081427776134
47,7ef86a3b0a98,2026-04-15 13:10:06,True,0.19214196647462375,0.017703063340801104,0.19780390500840084,0.0014037609100341797,0.0018025875091552735,8.4,0.001,300,False,lsqr,-0.181565769377721,0.006201783279527752,-0.38654913475767305,0.003973778124531634,-0.4260434538833679,0.007262560213284722
48,731523acca5d,2026-04-15 13:10:07,True,0.27856069052748433,0.030939998713535234,0.28814666659409083,0.0010040283203125,0.0016695499420166016,1.05,0.01,500,True,auto,-0.16215535316997154,0.008323469532710561,-0.3356791261009775,0.006746515444418872,-0.40255110535823907,0.010390416008583894
49,8899e38d03cd,2026-04-15 13:10:07,True,0.27864520623897404,0.03102892479542462,0.28812714554597746,0.0013274192810058595,0.002026653289794922,7.8,0.01,300,True,svd,-0.16213656520070735,0.008342128761117375,-0.3357572528370225,0.0068179720848256156,-0.4025271085989062,0.010415951406937725
50,4e7e94734cbc,2026-04-15 13:10:07,True,0.19355885904303308,0.016765128716696345,0.20094225718223635,0.001630878448486328,0.0027225971221923827,3.75,0.0001,500,False,svd,-0.18125018045396815,0.0061492996377254415,-0.3861974768287203,0.0033100640005911536,-0.4256740270991692,0.007197437540119564
51,c1b80ce29cc2,2026-04-15 13:10:07,True,0.1936018012718306,0.016765380819006543,0.2009361441106965,0.0024270057678222657,0.0025516033172607424,8.25,0.0001,300,False,svd,-0.18124046858426338,0.006147218625575113,-0.38621097500019574,0.0033207831078232433,-0.42566265236318407,0.007195482430141227
52,37e55c7a3991,2026-04-15 13:10:07,True,0.27856754304908476,0.030946064780845738,0.2881462627741386,0.0017855167388916016,0.003032398223876953,1.5,0.001,500,True,auto,-0.16215382814738905,0.008324752520512046,-0.3356840450135268,0.0067512207843705395,-0.40254916551935727,0.01039218394073704
