job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
31,0a0bb01e8db2,2026-04-14 20:00:50,True,0.8371393300972411,0.00750496445193203,0.9227027498711097,29.04035062789917,0.05348191261291504,275,7,0.03,0.8,-0.21673504830340784,0.008862862892940594,-0.3072335402118316,0.00628317528733122,-0.4654486014858,0.009625366399303973
32,fdcd37f88ac5,2026-04-14 20:04:03,True,0.8453699572947855,0.006564659719938154,0.9658459899481044,37.74987654685974,0.065910005569458,275,7,0.09,0.8,-0.20580377539646424,0.00810784919189058,-0.295555947312527,0.0060779651285876885,-0.4535665923201358,0.00900676010360921
33,7e3f27d20590,2026-04-14 20:04:44,True,0.8216743995285996,0.006078352028453272,0.9372585253141903,7.252063274383545,0.01954050064086914,50,7,0.29,0.8,-0.23735502746556092,0.007650363337916424,-0.3208313338687015,0.005214868497975981,-0.48712683279366187,0.007904191165244975
34,468853184c43,2026-04-14 20:08:45,True,0.8222657833992459,0.006030530595775528,0.9971720431823486,46.956233501434326,0.09048624038696289,275,8,0.26,0.8,-0.23663786579119908,0.009609027225098812,-0.318849832234602,0.006051538482797445,-0.4863536286250964,0.009900187594224685
35,2f69906eaa10,2026-04-14 20:11:37,True,0.8316150419330894,0.007934127345555687,0.9888988145887934,33.455232810974124,0.05325961112976074,275,7,0.23,0.8,-0.22408951591498227,0.009458188407122403,-0.31015733742472584,0.005896146091825005,-0.4732724645923591,0.010133616020772547
36,79b078e227b8,2026-04-14 20:13:09,True,0.7450785627705758,0.007937506895464755,0.7902408539021358,17.684371280670167,0.03354425430297851,175,7,0.01,0.8,-0.3393114636602894,0.010106942167942008,-0.4249774654757915,0.00447955417159839,-0.5824391642914388,0.008722589052551364
37,36357861ab86,2026-04-14 20:15:42,True,0.8357857537502598,0.007498669382041731,0.926722130170188,30.02750849723816,0.03955111503601074,225,7,0.04,1.0,-0.21853557625643133,0.008820150758631263,-0.30835046265762933,0.005078001428088337,-0.4673815070967292,0.009492264241023127
38,346121d0d39e,2026-04-14 20:18:15,True,0.8425470527639473,0.006831959774312687,0.9791618800314048,30.010092353820802,0.04911713600158692,300,7,0.13,0.8,-0.20956508529507425,0.008606848966520097,-0.2978652728438149,0.005671033584436448,-0.4576834604738803,0.009536000405216414
39,c89f977ac1ed,2026-04-14 20:20:10,True,0.8355914788705551,0.007112323633104793,0.9801337839236313,22.351355457305907,0.03607940673828125,200,7,0.22,1.0,-0.2188379045864727,0.009284971581386525,-0.30432476678674664,0.00679990063057597,-0.4676945918098673,0.009983655556675505
40,80a5e0ade344,2026-04-14 20:22:42,True,0.8447569460255877,0.007211847729363777,0.9748345441990924,29.771996355056764,0.045143508911132814,300,7,0.11,0.8,-0.20658596562612072,0.008216697782985135,-0.29484013910039486,0.00606385642404611,-0.4544257064321549,0.009123757984392251
41,677d8ce7aa2b,2026-04-14 20:25:01,True,0.8295646060405858,0.00721857354349934,0.9907351039132589,26.87301597595215,0.052965736389160155,275,7,0.25,0.8,-0.22679496553513184,0.007675157808994596,-0.3149137281002413,0.004473919470265271,-0.4761612933639435,0.008086299345703136
42,892fbd1b10e2,2026-04-14 20:27:52,True,0.8394907862915713,0.007414081751355598,0.9848777416179806,33.59351010322571,0.04746303558349609,300,7,0.18,1.0,-0.21362195499620076,0.009150620241148147,-0.3013310002134739,0.00567348285173989,-0.46208427066299385,0.010004089266389475
43,3643fd43e7e7,2026-04-14 20:28:38,True,0.8311364612226833,0.007944733558363455,0.9124786720974347,8.636635303497314,0.016263246536254883,100,7,0.07,0.8,-0.22474539053777223,0.009958636755930783,-0.3139248667863518,0.006907195385427687,-0.47395401848326574,0.010629153368749566
44,c0fede183317,2026-04-14 20:29:40,True,0.838819911586636,0.009693909672410142,0.9704356994374146,11.760918712615966,0.028965187072753907,125,8,0.14,0.75,-0.2144978359449599,0.012063660945564039,-0.30168945570801303,0.006899893308543611,-0.46295505966543526,0.013055599378549027
45,9828a9bc327c,2026-04-14 20:31:22,True,0.840037577332901,0.008309864810299918,0.9748122067312078,19.481833934783936,0.03742098808288574,225,7,0.15,0.8,-0.2129204649630338,0.010934960441102154,-0.3014143874248144,0.00570972697982321,-0.46127796546484384,0.011962589169914203
46,af0c3ebb1d14,2026-04-14 20:33:12,True,0.8457588644102347,0.006459582571258137,0.9659593613620281,21.061953639984132,0.03762874603271484,250,7,0.1,0.8,-0.2052842207161265,0.007951454783773824,-0.2947678391252905,0.004979809754187769,-0.4529970455640456,0.008825951867788888
